company,year,revenue_usd,net_income_usd
Apple,2015,233715000000,53394000000
Apple,2016,215639000000,45687000000
Apple,2017,229234000000,48351000000
Apple,2018,265595000000,59531000000
Apple,2019,260174000000,55256000000
Apple,2020,274515000000,57411000000
Apple,2021,365817000000,94680000000
Apple,2022,394328000000,99803000000
Apple,2023,383285000000,96995000000
Apple,2024,390000000000,98000000000
Samsung,2015,177440000000,19100000000
Samsung,2016,173000000000,18000000000
Samsung,2017,211000000000,37000000000
Samsung,2018,221000000000,39000000000
Samsung,2019,206000000000,26000000000
Samsung,2020,200000000000,22000000000
Samsung,2021,244000000000,34000000000
Samsung,2022,234000000000,28000000000
Samsung,2023,220000000000,24000000000
Samsung,2024,225000000000,26000000000
